no loop for PHI

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.02e+06  |2687723435|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.71529368|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.58430504|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.08530218|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.86452837|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.90113740|  PASSED  
        diehard_opso|   0|   2097152|     100|0.88975800|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.72519888|  PASSED  
         diehard_dna|   0|   2097152|     100|0.37970906|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.38184923|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.73105444|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99620839|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.70627143|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.60302750|  PASSED  
        diehard_sums|   0|       100|     100|0.31719222|  PASSED  
        diehard_runs|   0|    100000|     100|0.97588592|  PASSED  
        diehard_runs|   0|    100000|     100|0.83947714|  PASSED  
       diehard_craps|   0|    200000|     100|0.84513625|  PASSED  
       diehard_craps|   0|    200000|     100|0.50912435|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.49078556|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90816924|  PASSED  
         sts_monobit|   1|    100000|     100|0.79584728|  PASSED  
            sts_runs|   2|    100000|     100|0.52613912|  PASSED  
          sts_serial|   1|    100000|     100|0.59260681|  PASSED  
          sts_serial|   2|    100000|     100|0.15101196|  PASSED  
          sts_serial|   3|    100000|     100|0.21772803|  PASSED  
          sts_serial|   3|    100000|     100|0.54158558|  PASSED  
          sts_serial|   4|    100000|     100|0.97439877|  PASSED  
          sts_serial|   4|    100000|     100|0.63877477|  PASSED  
          sts_serial|   5|    100000|     100|0.52018905|  PASSED  
          sts_serial|   5|    100000|     100|0.22946113|  PASSED  
          sts_serial|   6|    100000|     100|0.89684761|  PASSED  
          sts_serial|   6|    100000|     100|0.99998482|   WEAK   
          sts_serial|   7|    100000|     100|0.20023588|  PASSED  
          sts_serial|   7|    100000|     100|0.12868099|  PASSED  
          sts_serial|   8|    100000|     100|0.10066851|  PASSED  
          sts_serial|   8|    100000|     100|0.12175208|  PASSED  
